"","Indicator_Code","Indicator_Name","Num_of_Countries","Num_of_Years","FirstYear","LastYear"
"271","DT.NFL.MIBR.CD","Net financial flows, IBRD (NFL, current USdollar)",177,47,"1970","2016"
"272","DT.NFL.MIDA.CD","Net financial flows, IDA (NFL, current USdollar)",173,47,"1970","2016"
"273","DT.NFL.MLAT.CD","Net financial flows, multilateral (NFL, current USdollar)",136,47,"1970","2016"
"274","DT.NFL.MLTC.CD","PPG, multilateral concessional (NFL, current USdollar)",135,47,"1970","2016"
"275","DT.NFL.MOTH.CD","Net financial flows, others (NFL, current USdollar)",136,47,"1970","2016"
"276","DT.NFL.NEBR.CD","EBRD, private nonguaranteed (NFL, current USdollar)",135,47,"1970","2016"
"277","DT.NFL.NIFC.CD","IFC, private nonguaranteed (NFL, current USdollar)",135,47,"1970","2016"
"278","DT.NFL.OFFT.CD","PPG, official creditors (NFL, current USdollar)",135,47,"1970","2016"
"279","DT.NFL.PBND.CD","PPG, bonds (NFL, current USdollar)",136,47,"1970","2016"
"280","DT.NFL.PCBK.CD","PPG, commercial banks (NFL, current USdollar)",136,47,"1970","2016"
"281","DT.NFL.PCBO.CD","Commercial banks and other lending (PPG + PNG) (NFL, current USdollar)",135,47,"1970","2016"
"282","DT.NFL.PNGB.CD","PNG, bonds (NFL, current USdollar)",136,47,"1970","2016"
"283","DT.NFL.PNGC.CD","PNG, commercial banks and other creditors (NFL, current USdollar)",136,47,"1970","2016"
"284","DT.NFL.PROP.CD","PPG, other private creditors (NFL, current USdollar)",136,47,"1970","2016"
"285","DT.NFL.PRVT.CD","PPG, private creditors (NFL, current USdollar)",135,47,"1970","2016"
"286","DT.NFL.RDBC.CD","Net financial flows, RDB concessional (NFL, current USdollar)",136,47,"1970","2016"
"287","DT.NFL.RDBN.CD","Net financial flows, RDB nonconcessional (NFL, current USdollar)",136,47,"1970","2016"
"288","DT.NFL.UNAI.CD","Net official flows from UN agencies, UNAIDS (current USdollar)",180,11,"2005","2015"
"289","DT.NFL.UNCF.CD","Net official flows from UN agencies, UNICEF (current USdollar)",199,46,"1970","2015"
"290","DT.NFL.UNCR.CD","Net official flows from UN agencies, UNHCR (current USdollar)",183,47,"1969","2015"
"291","DT.NFL.UNDP.CD","Net official flows from UN agencies, UNDP (current USdollar)",225,48,"1968","2015"
"292","DT.NFL.UNEC.CD","Net official flows from UN agencies, UNECE (current USdollar)",31,8,"2008","2015"
"293","DT.NFL.UNFP.CD","Net official flows from UN agencies, UNFPA (current USdollar)",214,38,"1977","2015"
"294","DT.NFL.UNPB.CD","Net official flows from UN agencies, UNPBF (current USdollar)",68,9,"2007","2015"
"295","DT.NFL.UNRW.CD","Net official flows from UN agencies, UNRWA (current USdollar)",31,47,"1969","2015"
"296","DT.NFL.UNTA.CD","Net official flows from UN agencies, UNTA (current USdollar)",222,47,"1969","2015"
"297","DT.NFL.WFPG.CD","Net official flows from UN agencies, WFP (current USdollar)",189,47,"1969","2015"
"298","DT.NFL.WHOL.CD","Net official flows from UN agencies, WHO (current USdollar)",151,7,"2009","2015"
"299","DT.NTR.BLAT.CD","PPG, bilateral (NTR, current USdollar)",135,47,"1970","2016"
"300","DT.NTR.BLTC.CD","PPG, bilateral concessional (NTR, current USdollar)",135,47,"1970","2016"
"301","DT.NTR.DECT.CD","Net transfers on external debt, total (NTR, current USdollar)",135,47,"1970","2016"
"302","DT.NTR.DLXF.CD","Net transfers on external debt, long-term (NTR, current USdollar)",135,47,"1970","2016"
"303","DT.NTR.DPNG.CD","Net transfers on external debt, private nonguaranteed (PNG) (NTR, current USdollar)",135,47,"1970","2016"
"304","DT.NTR.DPPG.CD","Net transfers on external debt, public and publicly guaranteed (PPG) (NTR, current USdollar)",135,47,"1970","2016"
"305","DT.NTR.MIBR.CD","PPG, IBRD (NTR, current USdollar)",135,47,"1970","2016"
"306","DT.NTR.MIDA.CD","PPG, IDA (NTR, current USdollar)",135,47,"1970","2016"
"307","DT.NTR.MLAT.CD","PPG, multilateral (NTR, current USdollar)",135,47,"1970","2016"
"308","DT.NTR.MLTC.CD","PPG, multilateral concessional (NTR, current USdollar)",135,47,"1970","2016"
"309","DT.NTR.OFFT.CD","PPG, official creditors (NTR, current USdollar)",135,47,"1970","2016"
"310","DT.NTR.PBND.CD","PPG, bonds (NTR, current USdollar)",135,47,"1970","2016"
"311","DT.NTR.PCBK.CD","PPG, commercial banks (NTR, current USdollar)",135,47,"1970","2016"
"312","DT.NTR.PNGB.CD","PNG, bonds (NTR, current USdollar)",135,47,"1970","2016"
"313","DT.NTR.PNGC.CD","PNG, commercial banks and other creditors (NTR, current USdollar)",135,47,"1970","2016"
"314","DT.NTR.PROP.CD","PPG, other private creditors (NTR, current USdollar)",135,47,"1970","2016"
"315","DT.NTR.PRVT.CD","PPG, private creditors (NTR, current USdollar)",135,47,"1970","2016"
"316","DT.ODA.ALLD.CD","Net official development assistance and official aid received (current USdollar)",225,56,"1960","2015"
"317","DT.ODA.ALLD.KD","Net official development assistance and official aid received (constant 2013 USdollar)",225,56,"1960","2015"
"318","DT.ODA.OATL.CD","Net official aid received (current USdollar)",74,18,"1990","2011"
"319","DT.ODA.OATL.KD","Net official aid received (constant 2014 USdollar)",74,18,"1990","2011"
"320","DT.ODA.ODAT.CD","Net official development assistance received (current USdollar)",215,56,"1960","2015"
"321","DT.ODA.ODAT.GI.ZS","Net ODA received (% of gross capital formation)",193,56,"1960","2015"
"322","DT.ODA.ODAT.GN.ZS","Net ODA received (% of GNI)",207,56,"1960","2015"
"323","DT.ODA.ODAT.KD","Net official development assistance received (constant 2014 USdollar)",215,56,"1960","2015"
"324","DT.ODA.ODAT.MP.ZS","Net ODA received (% of imports of goods, services and primary income)",195,53,"1960","2015"
"325","DT.ODA.ODAT.PC.ZS","Net ODA received per capita (current USdollar)",215,56,"1960","2015"
"326","DT.ODA.ODAT.XP.ZS","Net ODA received (% of central government expense)",123,44,"1972","2015"
"327","DT.TDS.BLAT.CD","PPG, bilateral (TDS, current USdollar)",135,47,"1970","2016"
"328","DT.TDS.BLTC.CD","PPG, bilateral concessional (TDS, current USdollar)",135,47,"1970","2016"
"329","DT.TDS.DECT.CD","Debt service on external debt, total (TDS, current USdollar)",135,47,"1970","2016"
"330","DT.TDS.DECT.EX.ZS","Total debt service (% of exports of goods, services and primary income)",136,47,"1970","2016"
"331","DT.TDS.DECT.GN.ZS","Total debt service (% of GNI)",157,47,"1970","2016"
"332","DT.TDS.DIMF.CD","IMF repurchases and charges (TDS, current USdollar)",136,47,"1970","2016"
"333","DT.TDS.DLXF.CD","Debt service on external debt, long-term (TDS, current USdollar)",135,47,"1970","2016"
"334","DT.TDS.DPNG.CD","Debt service on external debt, private nonguaranteed (PNG) (TDS, current USdollar)",135,47,"1970","2016"
"335","DT.TDS.DPPF.XP.ZS","Debt service (PPG and IMF only, % of exports of goods, services and primary income)",156,47,"1970","2016"
"336","DT.TDS.DPPG.CD","Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current USdollar)",136,47,"1970","2016"
"337","DT.TDS.DPPG.GN.ZS","Public and publicly guaranteed debt service (% of GNI)",158,47,"1970","2016"
"338","DT.TDS.DPPG.XP.ZS","Public and publicly guaranteed debt service (% of exports of goods, services and primary income)",153,47,"1970","2016"
"339","DT.TDS.MIBR.CD","PPG, IBRD (TDS, current USdollar)",135,47,"1970","2016"
"340","DT.TDS.MIDA.CD","PPG, IDA (TDS, current USdollar)",135,47,"1970","2016"
"341","DT.TDS.MLAT.CD","Multilateral debt service (TDS, current USdollar)",136,47,"1970","2016"
"342","DT.TDS.MLAT.PG.ZS","Multilateral debt service (% of public and publicly guaranteed debt service)",135,47,"1970","2016"
"343","DT.TDS.MLTC.CD","PPG, multilateral concessional (TDS, current USdollar)",135,47,"1970","2016"
"344","DT.TDS.OFFT.CD","PPG, official creditors (TDS, current USdollar)",135,47,"1970","2016"
"345","DT.TDS.PBND.CD","PPG, bonds (TDS, current USdollar)",135,47,"1970","2016"
"346","DT.TDS.PCBK.CD","PPG, commercial banks (TDS, current USdollar)",135,47,"1970","2016"
"347","DT.TDS.PNGB.CD","PNG, bonds (TDS, current USdollar)",135,47,"1970","2016"
"348","DT.TDS.PNGC.CD","PNG, commercial banks and other creditors (TDS, current USdollar)",135,47,"1970","2016"
"349","DT.TDS.PROP.CD","PPG, other private creditors (TDS, current USdollar)",135,47,"1970","2016"
"350","DT.TDS.PRVT.CD","PPG, private creditors (TDS, current USdollar)",135,47,"1970","2016"
"351","DT.TXR.DPPG.CD","Total amount of debt rescheduled (current USdollar)",135,47,"1970","2016"
"352","DT.UND.DPPG.CD","Undisbursed external debt, total (UND, current USdollar)",135,47,"1970","2016"
"353","DT.UND.OFFT.CD","Undisbursed external debt, official creditors (UND, current USdollar)",135,47,"1970","2016"
"354","DT.UND.PRVT.CD","Undisbursed external debt, private creditors (UND, current USdollar)",135,47,"1970","2016"
"355","EA.PRD.AGRI.KD","Agriculture value added per worker (constant 2010 USdollar)",229,37,"1980","2016"
"356","EG.CFT.ACCS.ZS","Access to clean fuels and technologies for cooking  (% of population)",235,15,"2000","2014"
"357","EG.EGY.PRIM.PP.KD","Energy intensity level of primary energy (MJ/dollar2011 PPP GDP)",237,25,"1990","2014"
"358","EG.ELC.ACCS.RU.ZS","Access to electricity, rural (% of rural population)",256,25,"1990","2014"
"359","EG.ELC.ACCS.UR.ZS","Access to electricity, urban (% of urban population)",256,25,"1990","2014"
"360","EG.ELC.ACCS.ZS","Access to electricity (% of population)",260,25,"1990","2014"
"361","EG.ELC.COAL.ZS","Electricity production from coal sources (% of total)",185,56,"1960","2015"
"362","EG.ELC.FOSL.ZS","Electricity production from oil, gas and coal sources (% of total)",185,56,"1960","2015"
"363","EG.ELC.HYRO.ZS","Electricity production from hydroelectric sources (% of total)",185,56,"1960","2015"
"364","EG.ELC.LOSS.ZS","Electric power transmission and distribution losses (% of output)",187,55,"1960","2014"
"365","EG.ELC.NGAS.ZS","Electricity production from natural gas sources (% of total)",185,56,"1960","2015"
"366","EG.ELC.NUCL.ZS","Electricity production from nuclear sources (% of total)",185,56,"1960","2015"
"367","EG.ELC.PETR.ZS","Electricity production from oil sources (% of total)",185,56,"1960","2015"
"368","EG.ELC.RNEW.ZS","Renewable electricity output (% of total electricity output)",259,25,"1990","2014"
"369","EG.ELC.RNWX.KH","Electricity production from renewable sources, excluding hydroelectric (kWh)",187,56,"1960","2015"
"370","EG.ELC.RNWX.ZS","Electricity production from renewable sources, excluding hydroelectric (% of total)",185,56,"1960","2015"
"371","EG.FEC.RNEW.ZS","Renewable energy consumption (% of total final energy consumption)",254,25,"1990","2014"
"372","EG.GDP.PUSE.KO.PP","GDP per unit of energy use (PPP dollar per kg of oil equivalent)",212,26,"1990","2015"
"373","EG.GDP.PUSE.KO.PP.KD","GDP per unit of energy use (constant 2011 PPP dollar per kg of oil equivalent)",212,26,"1990","2015"
"374","EG.IMP.CONS.ZS","Energy imports, net (% of energy use)",187,56,"1960","2015"
"375","EG.USE.COMM.CL.ZS","Alternative and nuclear energy (% of total energy use)",187,56,"1960","2015"
"376","EG.USE.COMM.FO.ZS","Fossil fuel energy consumption (% of total)",218,56,"1960","2015"
"377","EG.USE.COMM.GD.PP.KD","Energy use (kg of oil equivalent) per dollar1,000 GDP (constant 2011 PPP)",212,26,"1990","2015"
"378","EG.USE.CRNW.ZS","Combustible renewables and waste (% of total energy)",187,56,"1960","2015"
"379","EG.USE.ELEC.KH.PC","Electric power consumption (kWh per capita)",184,55,"1960","2014"
"380","EG.USE.PCAP.KG.OE","Energy use (kg of oil equivalent per capita)",218,56,"1960","2015"
"381","EN.ATM.CO2E.EG.ZS","CO2 intensity (kg per kg of oil equivalent energy use)",218,55,"1960","2014"
"382","EN.ATM.CO2E.GF.KT","CO2 emissions from gaseous fuel consumption (kt)",244,55,"1960","2014"
"383","EN.ATM.CO2E.GF.ZS","CO2 emissions from gaseous fuel consumption (% of total)",252,55,"1960","2014"
"384","EN.ATM.CO2E.KD.GD","CO2 emissions (kg per 2010 USdollar of GDP)",241,55,"1960","2014"
"385","EN.ATM.CO2E.KT","CO2 emissions (kt)",252,55,"1960","2014"
"386","EN.ATM.CO2E.LF.KT","CO2 emissions from liquid fuel consumption (kt)",252,55,"1960","2014"
"387","EN.ATM.CO2E.LF.ZS","CO2 emissions from liquid fuel consumption (% of total)",252,55,"1960","2014"
"388","EN.ATM.CO2E.PC","CO2 emissions (metric tons per capita)",252,55,"1960","2014"
"389","EN.ATM.CO2E.PP.GD","CO2 emissions (kg per PPP dollar of GDP)",236,25,"1990","2014"
"390","EN.ATM.CO2E.PP.GD.KD","CO2 emissions (kg per 2011 PPP dollar of GDP)",236,25,"1990","2014"
"391","EN.ATM.CO2E.SF.KT","CO2 emissions from solid fuel consumption (kt)",237,55,"1960","2014"
"392","EN.ATM.CO2E.SF.ZS","CO2 emissions from solid fuel consumption (% of total)",252,55,"1960","2014"
"393","EN.ATM.GHGO.KT.CE","Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",245,43,"1970","2012"
"394","EN.ATM.GHGO.ZG","Other greenhouse gas emissions (% change from 1990)",234,22,"1991","2012"
"395","EN.ATM.GHGT.KT.CE","Total greenhouse gas emissions (kt of CO2 equivalent)",245,43,"1970","2012"
"396","EN.ATM.GHGT.ZG","Total greenhouse gas emissions (% change from 1990)",235,22,"1991","2012"
"397","EN.ATM.HFCG.KT.CE","HFC gas emissions (thousand metric tons of CO2 equivalent)",163,5,"1990","2010"
"398","EN.ATM.METH.AG.KT.CE","Agricultural methane emissions (thousand metric tons of CO2 equivalent)",263,40,"1969","2008"
"399","EN.ATM.METH.AG.ZS","Agricultural methane emissions (% of total)",250,39,"1970","2008"
"400","EN.ATM.METH.EG.KT.CE","Methane emissions in energy sector (thousand metric tons of CO2 equivalent)",263,40,"1969","2008"
"401","EN.ATM.METH.EG.ZS","Energy related methane emissions (% of total)",250,39,"1970","2008"
"402","EN.ATM.METH.KT.CE","Methane emissions (kt of CO2 equivalent)",252,43,"1970","2012"
"403","EN.ATM.METH.ZG","Methane emissions (% change from 1990)",250,22,"1991","2012"
"404","EN.ATM.NOXE.AG.KT.CE","Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent)",263,40,"1969","2008"
"405","EN.ATM.NOXE.AG.ZS","Agricultural nitrous oxide emissions (% of total)",251,39,"1970","2008"
"406","EN.ATM.NOXE.EG.KT.CE","Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent)",263,40,"1969","2008"
"407","EN.ATM.NOXE.EG.ZS","Nitrous oxide emissions in energy sector (% of total)",251,39,"1970","2008"
"408","EN.ATM.NOXE.KT.CE","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)",253,43,"1970","2012"
"409","EN.ATM.NOXE.ZG","Nitrous oxide emissions (% change from 1990)",251,22,"1991","2012"
"410","EN.ATM.PFCG.KT.CE","PFC gas emissions (thousand metric tons of CO2 equivalent)",163,5,"1990","2010"
"411","EN.ATM.PM25.MC.M3","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",240,10,"1990","2015"
"412","EN.ATM.PM25.MC.ZS","PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",240,10,"1990","2015"
"413","EN.ATM.SF6G.KT.CE","SF6 gas emissions (thousand metric tons of CO2 equivalent)",169,5,"1990","2010"
"414","EN.BIR.THRD.NO","Bird species, threatened",261,1,"2017","2017"
"415","EN.CLC.DRSK.XQ","Disaster risk reduction progress score (1-5 scale; 5=best)",83,1,"2011","2011"
"416","EN.CLC.GHGR.MT.CE","GHG net emissions/removals by LUCF (Mt of CO2 equivalent)",162,20,"1990","2009"
"417","EN.CLC.MDAT.ZS","Droughts, floods, extreme temperatures (% of population, average 1990-2009)",168,1,"2009","2009"
"418","EN.CO2.BLDG.ZS","CO2 emissions from residential buildings and commercial and public services (% of total fuel combustion)",187,55,"1960","2014"
"419","EN.CO2.ETOT.ZS","CO2 emissions from electricity and heat production, total (% of total fuel combustion)",187,55,"1960","2014"
"420","EN.CO2.MANF.ZS","CO2 emissions from manufacturing industries and construction (% of total fuel combustion)",187,55,"1960","2014"
"421","EN.CO2.OTHX.ZS","CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion)",187,55,"1960","2014"
"422","EN.CO2.TRAN.ZS","CO2 emissions from transport (% of total fuel combustion)",187,55,"1960","2014"
"423","EN.FSH.THRD.NO","Fish species, threatened",261,1,"2017","2017"
"424","EN.HPT.THRD.NO","Plant species (higher), threatened",261,1,"2017","2017"
"425","EN.MAM.THRD.NO","Mammal species, threatened",261,1,"2017","2017"
"426","EN.POP.DNST","Population density (people per sq. km of land area)",262,56,"1961","2016"
"427","EN.POP.EL5M.RU.ZS","Rural population living in areas where elevation is below 5 meters (% of total population)",225,3,"1990","2010"
"428","EN.POP.EL5M.UR.ZS","Urban population living in areas where elevation is below 5 meters (% of total population)",225,3,"1990","2010"
"429","EN.POP.EL5M.ZS","Population living in areas where elevation is below 5 meters (% of total population)",225,3,"1990","2010"
"430","EN.POP.SLUM.UR.ZS","Population living in slums (% of urban population)",138,7,"1990","2014"
"431","EN.URB.LCTY","Population in largest city",151,57,"1960","2016"
"432","EN.URB.LCTY.UR.ZS","Population in the largest city (% of urban population)",193,57,"1960","2016"
"433","EN.URB.MCTY","Population in urban agglomerations of more than 1 million",115,57,"1960","2016"
"434","EN.URB.MCTY.TL.ZS","Population in urban agglomerations of more than 1 million (% of total population)",148,57,"1960","2016"
"435","EP.PMP.DESL.CD","Pump price for diesel fuel (USdollar per liter)",224,12,"1991","2014"
"436","EP.PMP.SGAS.CD","Pump price for gasoline (USdollar per liter)",226,12,"1991","2014"
"437","ER.FSH.AQUA.MT","Aquaculture production (metric tons)",236,56,"1960","2015"
"438","ER.FSH.CAPT.MT","Capture fisheries production (metric tons)",258,56,"1960","2015"
"439","ER.FSH.PROD.MT","Total fisheries production (metric tons)",258,56,"1960","2015"
"440","ER.GDP.FWTL.M3.KD","Water productivity, total (constant 2010 USdollar GDP per cubic meter of total freshwater withdrawal)",223,11,"1967","2014"
"441","ER.H2O.FWAG.ZS","Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",226,12,"1967","2014"
"442","ER.H2O.FWDM.ZS","Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)",224,12,"1967","2014"
"443","ER.H2O.FWIN.ZS","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)",225,12,"1967","2014"
"444","ER.H2O.FWTL.K3","Annual freshwater withdrawals, total (billion cubic meters)",226,12,"1962","2014"
"445","ER.H2O.FWTL.ZS","Annual freshwater withdrawals, total (% of internal resources)",222,12,"1962","2014"
"446","ER.H2O.INTR.K3","Renewable internal freshwater resources, total (billion cubic meters)",229,12,"1962","2014"
"447","ER.H2O.INTR.PC","Renewable internal freshwater resources per capita (cubic meters)",230,12,"1962","2014"
"448","ER.LND.PTLD.ZS","Terrestrial protected areas (% of total land area)",255,3,"1990","2014"
"449","ER.MRN.PTMR.ZS","Marine protected areas (% of territorial waters)",255,3,"1990","2014"
"450","ER.PTD.TOTL.ZS","Terrestrial and marine protected areas (% of total territorial area)",255,3,"1990","2014"
"451","FB.AST.NPER.ZS","Bank nonperforming loans to total gross loans (%)",159,17,"2000","2016"
"452","FB.ATM.TOTL.P5","Automated teller machines (ATMs) (per 100,000 adults)",231,13,"2004","2016"
"453","FB.BNK.CAPA.ZS","Bank capital to assets ratio (%)",155,17,"2000","2016"
"454","FB.CBK.BRCH.P5","Commercial bank branches (per 100,000 adults)",231,16,"2001","2016"
"455","FB.CBK.BRWR.P3","Borrowers from commercial banks (per 1,000 adults)",141,13,"2004","2016"
"456","FB.CBK.DPTR.P3","Depositors with commercial banks (per 1,000 adults)",173,13,"2004","2016"
"457","FD.AST.PRVT.GD.ZS","Domestic credit to private sector by banks (% of GDP)",230,57,"1960","2016"
"458","FD.RES.LIQU.AS.ZS","Bank liquid reserves to bank assets ratio (%)",200,17,"2000","2016"
"459","FI.RES.TOTL.CD","Total reserves (includes gold, current USdollar)",178,57,"1960","2016"
"460","FI.RES.TOTL.DT.ZS","Total reserves (% of total external debt)",154,46,"1971","2016"
"461","FI.RES.TOTL.MO","Total reserves in months of imports",218,57,"1960","2016"
"462","FI.RES.XGLD.CD","Total reserves minus gold (current USdollar)",178,57,"1960","2016"
"463","FM.AST.CGOV.ZG.M3","Claims on central government (annual growth as % of broad money)",165,56,"1961","2016"
"464","FM.AST.DOMO.ZG.M3","Claims on other sectors of the domestic economy (annual growth as % of broad money)",132,16,"2001","2016"
"465","FM.AST.DOMS.CN","Net domestic credit (current LCU)",183,57,"1960","2016"
"466","FM.AST.NFRG.CN","Net foreign assets (current LCU)",184,57,"1960","2016"
"467","FM.AST.PRVT.ZG.M3","Claims on private sector (annual growth as % of broad money)",165,56,"1961","2016"
"468","FM.LBL.BMNY.CN","Broad money (current LCU)",165,57,"1960","2016"
"469","FM.LBL.BMNY.GD.ZS","Broad money (% of GDP)",208,57,"1960","2016"
"470","FM.LBL.BMNY.IR.ZS","Broad money to total reserves ratio",154,57,"1960","2016"
"471","FM.LBL.BMNY.ZG","Broad money growth (annual %)",165,56,"1961","2016"
"472","FP.CPI.TOTL","Consumer price index (2010 = 100)",183,57,"1960","2016"
"473","FP.CPI.TOTL.ZG","Inflation, consumer prices (annual %)",223,57,"1960","2016"
"474","FP.WPI.TOTL","Wholesale price index (2010 = 100)",54,57,"1960","2016"
"475","FR.INR.DPST","Deposit interest rate (%)",180,58,"1960","2017"
"476","FR.INR.LEND","Lending interest rate (%)",179,57,"1960","2016"
"477","FR.INR.LNDP","Interest rate spread (lending rate minus deposit rate, %)",223,57,"1960","2016"
"478","FR.INR.RINR","Real interest rate (%)",179,56,"1961","2016"
"479","FR.INR.RISK","Risk premium on lending (lending rate minus treasury bill rate, %)",107,57,"1960","2016"
"480","FS.AST.CGOV.GD.ZS","Claims on central government, etc. (% GDP)",230,57,"1960","2016"
"481","FS.AST.DOMO.GD.ZS","Claims on other sectors of the domestic economy (% of GDP)",182,17,"2000","2016"
"482","FS.AST.DOMS.GD.ZS","Domestic credit provided by financial sector (% of GDP)",230,57,"1960","2016"
"483","FS.AST.PRVT.GD.ZS","Domestic credit to private sector (% of GDP)",230,57,"1960","2016"
"484","GB.XPD.RSDV.GD.ZS","Research and development expenditure (% of GDP)",173,20,"1996","2015"
"485","GC.AST.TOTL.CN","Net acquisition of financial assets (current LCU)",147,47,"1970","2016"
"486","GC.AST.TOTL.GD.ZS","Net acquisition of financial assets (% of GDP)",165,47,"1970","2016"
"487","GC.DOD.TOTL.CN","Central government debt, total (current LCU)",112,30,"1970","2016"
"488","GC.DOD.TOTL.GD.ZS","Central government debt, total (% of GDP)",121,30,"1970","2016"
"489","GC.LBL.TOTL.CN","Net incurrence of liabilities, total (current LCU)",146,45,"1972","2016"
"490","GC.LBL.TOTL.GD.ZS","Net incurrence of liabilities, total (% of GDP)",176,45,"1972","2016"
"491","GC.NFN.TOTL.CN","Net investment in nonfinancial assets (current LCU)",161,45,"1972","2016"
"492","GC.NFN.TOTL.GD.ZS","Net investment in nonfinancial assets (% of GDP)",198,45,"1972","2016"
"493","GC.NLD.TOTL.CN","Net lending (+) / net borrowing (-) (current LCU)",160,45,"1972","2016"
"494","GC.NLD.TOTL.GD.ZS","Net lending (+) / net borrowing (-) (% of GDP)",188,45,"1972","2016"
"495","GC.REV.GOTR.CN","Grants and other revenue (current LCU)",159,45,"1972","2016"
"496","GC.REV.GOTR.ZS","Grants and other revenue (% of revenue)",171,45,"1972","2016"
"497","GC.REV.SOCL.CN","Social contributions (current LCU)",161,45,"1972","2016"
"498","GC.REV.SOCL.ZS","Social contributions (% of revenue)",173,45,"1972","2016"
"499","GC.REV.XGRT.CN","Revenue, excluding grants (current LCU)",161,45,"1972","2016"
"500","GC.REV.XGRT.GD.ZS","Revenue, excluding grants (% of GDP)",198,45,"1972","2016"
"501","GC.TAX.EXPT.CN","Taxes on exports (current LCU)",159,45,"1972","2016"
"502","GC.TAX.EXPT.ZS","Taxes on exports (% of tax revenue)",159,45,"1972","2016"
"503","GC.TAX.GSRV.CN","Taxes on goods and services (current LCU)",159,45,"1972","2016"
"504","GC.TAX.GSRV.RV.ZS","Taxes on goods and services (% of revenue)",171,45,"1972","2016"
"505","GC.TAX.GSRV.VA.ZS","Taxes on goods and services (% value added of industry and services)",157,45,"1972","2016"
"506","GC.TAX.IMPT.CN","Customs and other import duties (current LCU)",159,45,"1972","2016"
"507","GC.TAX.IMPT.ZS","Customs and other import duties (% of tax revenue)",159,45,"1972","2016"
"508","GC.TAX.INTT.CN","Taxes on international trade (current LCU)",160,45,"1972","2016"
"509","GC.TAX.INTT.RV.ZS","Taxes on international trade (% of revenue)",172,45,"1972","2016"
"510","GC.TAX.OTHR.CN","Other taxes (current LCU)",160,45,"1972","2016"
"511","GC.TAX.OTHR.RV.ZS","Other taxes (% of revenue)",172,45,"1972","2016"
"512","GC.TAX.TOTL.CN","Tax revenue (current LCU)",161,45,"1972","2016"
"513","GC.TAX.TOTL.GD.ZS","Tax revenue (% of GDP)",198,45,"1972","2016"
"514","GC.TAX.YPKG.CN","Taxes on income, profits and capital gains (current LCU)",159,45,"1972","2016"
"515","GC.TAX.YPKG.RV.ZS","Taxes on income, profits and capital gains (% of revenue)",171,45,"1972","2016"
"516","GC.TAX.YPKG.ZS","Taxes on income, profits and capital gains (% of total taxes)",159,45,"1972","2016"
"517","GC.XPN.COMP.CN","Compensation of employees (current LCU)",157,45,"1972","2016"
"518","GC.XPN.COMP.ZS","Compensation of employees (% of expense)",169,45,"1972","2016"
"519","GC.XPN.GSRV.CN","Goods and services expense (current LCU)",157,45,"1972","2016"
"520","GC.XPN.GSRV.ZS","Goods and services expense (% of expense)",169,45,"1972","2016"
"521","GC.XPN.INTP.CN","Interest payments (current LCU)",160,45,"1972","2016"
"522","GC.XPN.INTP.RV.ZS","Interest payments (% of revenue)",172,45,"1972","2016"
"523","GC.XPN.INTP.ZS","Interest payments (% of expense)",171,45,"1972","2016"
"524","GC.XPN.OTHR.CN","Other expense (current LCU)",156,29,"1970","2016"
"525","GC.XPN.OTHR.ZS","Other expense (% of expense)",167,27,"1990","2016"
"526","GC.XPN.TOTL.CN","Expense (current LCU)",159,45,"1972","2016"
"527","GC.XPN.TOTL.GD.ZS","Expense (% of GDP)",187,45,"1972","2016"
"528","GC.XPN.TRFT.CN","Subsidies and other transfers (current LCU)",157,47,"1970","2016"
"529","GC.XPN.TRFT.ZS","Subsidies and other transfers (% of expense)",168,45,"1972","2016"
"530","IC.BUS.DFRN.XQ","Distance to frontier score (0=lowest performance to 100=frontier)",235,3,"2015","2017"
"531","IC.BUS.DISC.XQ","Business extent of disclosure index (0=less disclosure to 10=more disclosure)",235,13,"2005","2017"
"532","IC.BUS.EASE.XQ","Ease of doing business index (1=most business-friendly regulations)",189,1,"2017","2017"
"533","IC.BUS.NDNS.ZS","New business density (new registrations per 1,000 people ages 15-64)",183,11,"2004","2014"
"534","IC.BUS.NREG","New businesses registered (number)",137,11,"2004","2014"
"535","IC.CRD.INFO.XQ","Depth of credit information index (0=low to 8=high)",235,5,"2013","2017"
"536","IC.CRD.PRVT.ZS","Private credit bureau coverage (% of adults)",235,14,"2004","2017"
"537","IC.CRD.PUBL.ZS","Public credit registry coverage (% of adults)",235,14,"2004","2017"
"538","IC.CUS.DURS.EX","Average time to clear exports through customs (days)",185,16,"2002","2017"
"539","IC.ELC.DURS","Delay in obtaining an electrical connection (days)",190,16,"2002","2017"
"540","IC.ELC.OUTG","Power outages in firms in a typical month (number)",184,12,"2006","2017"
